,id,share_holder,quantity,share_own_percent,update_date
0,96747884,Trương Gia Bình,117347966,0.0689,2026-01-08
1,96744368,Tổng Công ty Đầu Tư Và Kinh Doanh Vốn Nhà Nước - Công ty TNHH,96585638,0.0567,2025-10-05
2,96743296,Red River Holding,21041999,0.0458,2024-05-06
3,96721038,Công ty TNHH QT,54303923,0.0369,2025-10-05
4,96722543,"Deutsche Bank Aktiengesellchaft, London Branch",9604598,0.0241605875,2015-06-15
5,96719572,Công ty Cổ phần Quản Lý Quỹ đầu tư Dragon Capital Việt Nam,25097634,0.0198,2025-04-02
6,96730369,Ngân hàng Deutsche Aktiengesellschaft,7354242,0.01849977,2025-03-10
7,96743471,Stichting Depositary Apg Emerging Markets Equity Pool,21115647,0.0166,2025-04-02
8,96748760,Vinacapital Vietnam Opportunity Fund Ltd.,22791922,0.0155,2025-10-05
9,96717229,Bùi Quang Ngọc,21961492,0.0148,2025-10-05
10,96748116,Trương Thị Thanh Thanh,21822466,0.0147,2025-10-05
11,96725168,Hoàng Minh Châu,5610790,0.0141169968,2015-09-14
12,96721395,CTBC Vietnam Equity Fund,17458000,0.0137,2025-04-02
13,96742018,Phan Ngô Tống Hưng,5344531,0.0134470773,2015-09-14
14,96743417,Schroder International Selection Fund,19460017,0.0132,2025-10-05
15,96730003,Macquarie Bank Limited Obu,17107235,0.0116,2025-10-05
16,96748676,Vietnam Holding Ltd,8557812,0.0109168978,2020-07-14
17,96739782,Ntasian Discovery Master Fund,16000000,0.0109,2025-10-05
18,96724657,Government Of Singapore,15162887,0.0103,2025-10-05
19,96734945,Nguyễn Thành Nam,3747323,0.009428431,2015-09-14
20,96723349,Đỗ Cao Bảo,13821131,0.0093,2025-10-05
21,96748665,Vietnam Equity Holding,3636506,0.0091477146,2015-06-15
22,96748615,Vietnam Dragon Fund Limited,3589550,0.0090295957,2015-06-15
23,96748635,Vietnam Enterprise Investments Limited,9710183,0.007646,2025-10-05
24,96742624,PXP Vietnam Emerging Equity Fund,4867681,0.0071408,2025-08-12
25,96727999,Lê Quang Tiến,2500001,0.0062901135,2015-09-14
26,96739747,Norges Bank,7501021,0.005906,2025-10-05
27,96722477,DC Developing Markets Strategies Public Limited Company,7150000,0.00563,2025-10-05
28,96750429,Wareham Group Limited,7085261,0.005579,2025-10-05
29,96722519,Deutsche Asset Management (Asia) Limited,2190196,0.0055094885,2015-06-15
30,96724792,Hanoi Investments Holdings Limited,6058066,0.00477,2025-10-05
31,96724199,Dương Dũng Triều,2676629,0.0044,2025-08-12
32,96724675,Grinling International Limited,4773298,0.003759,2025-10-05
33,96735214,Nguyễn Thế Phương,5307647,0.0036,2025-10-05
34,96738709,Nguyễn Văn Khoa,4708357,0.0032,2025-10-05
35,96733582,Nguyễn Minh Sơn,993710,0.0025002184,2015-09-14
36,96733096,Nguyễn Khắc Thành,1081322,0.0024,2025-08-12
37,96725665,Hoàng Việt Anh,2888251,0.0023,2025-10-05
38,96748572,Venner Group Limited,2682813,0.002113,2025-10-05
39,96746026,Trần Quốc Hoài,782690,0.0019692828,2015-09-14
40,96733110,Nguyễn Khải Hoàn,2462178,0.0017,2025-10-05
41,96740380,Phạm Minh Tuấn,2572042,0.0017,2025-10-05
42,96725204,Hoàng Nam Tiến,644986,0.0016228134,2022-05-11
43,96731683,Nguyễn Điệp Tùng,600406,0.0015106481,2015-09-14
44,96716856,Balestrand Limited,1907185,0.001502,2025-10-05
45,96736658,Nguyễn Thị Phương,415250,0.0010447874,2015-09-14
46,96728251,Lê Thế Hùng,328125,0.001,2025-08-12
47,96743374,Samsung Vietnam Securities Master Investment Trust,1166751,0.000919,2025-10-05
48,96723821,Đỗ Thị Ngọc Mai,1201591,0.0007,2025-10-05
49,96743329,Saigon Investments Limited,768760,0.0007,2025-10-05
50,96735461,Nguyễn Thị Dư,1026133,0.0007,2025-10-05
51,96729505,Lloyd George Indian Ocean Master Fund,350000,0.00066,2025-08-12
52,96722535,Deutsche Asset Management (Korea) Company Limited,253680,0.00063814,2025-03-10
53,96716689,Amersham Industries Limited,780440,0.000615,2025-10-05
54,96743037,Quỹ Đầu tư Lợi Thế Cạnh Tranh Bền Vững SSI,480741,0.0006132643,2020-07-14
55,96723337,Đỗ Bảo Dương,940010,0.0006,2025-10-05
56,96725111,Hoàng Hữu Chiến,816267,0.0006,2025-10-05
57,96726571,KB Vietnam Focus Balanced Fund,681740,0.000536,2025-10-05
58,96742972,Quỹ Đầu tư Cổ phiếu Techcom,278249,0.0003549524,2020-07-14
59,96742800,Quỹ Đầu tư Cân bằng Bản Việt,272550,0.0003476824,2020-07-14
60,96747963,Trương Ngọc Anh,414124,0.0003,2025-10-05
61,96744038,The CH/SE Asia Investment Holdings (Singapore) Private Limited,124798,0.0003,2025-10-05
62,96742813,Quỹ Đầu tư Cân bằng Manulife,228303,0.0002912381,2020-07-14
63,96743058,Quỹ Đầu tư Năng động Eastspring Investments Việt Nam,227725,0.0002905007,2020-07-14
64,96737533,Nguyễn Thị Việt Nga,97130,0.0002,2024-06-20
65,96742901,Quỹ Đầu tư Cổ phiếu Manulife,149380,0.0001905588,2020-07-14
66,96721057,Công ty TNHH Quản lý Quỹ Bảo Việt,75042,0.0001887698,2015-06-15
67,96743224,Quỹ ETF SSIAM VNX50,118826,0.0001515821,2020-07-14
68,96721480,Danang Investments Limited,151000,0.000138,2025-10-05
69,96743169,Quỹ Đầu tư Trái phiếu Bảo Việt,85980,0.00012676,2025-12-31
70,96743000,Quỹ Đầu tư Cổ phiếu Triển vọng Bảo Việt,98877,0.0001261339,2020-07-14
71,96739389,Nguyễn Việt Thắng,136045,0.0001,2025-10-05
72,96743096,Quỹ Đầu tư Tăng trưởng DFVN,67000,8.54695e-05,2020-07-14
73,96742936,Quỹ Đầu tư Cổ phiếu Năng động Bảo Việt,63313,8.07662e-05,2020-07-14
74,96720900,Công ty TNHH MTV Quản Lý Quỹ Ngân Hàng Thương Mại Cổ phần Công Thương Việt Nam,30000,7.54656e-05,2015-06-15
75,96743188,Quỹ Đầu tư Trái phiếu SSI,42000,6.192e-05,2025-10-05
76,96747857,Trương Đình Anh,21428,5.39137e-05,2015-09-14
77,96718066,Chu Thị Thanh Hà,17869,4.49591e-05,2015-09-14
78,96717164,Bùi Ngọc Minh,26450,2e-05,2025-10-05
79,96732129,Nguyễn Đức Tiến,9569,6e-06,2025-10-05
80,96723444,Đỗ Hữu Binh,9843,6e-06,2025-10-05
81,96730148,Mai Thị Lan Anh,8009,5.4e-06,2025-10-05
82,96735874,Nguyễn Thị Huế,3979,3e-06,2025-10-05
83,96719044,Công ty Cổ phần Đầu tư và Thương mại BDM,79,1e-07,2025-10-05
