,SubjectId,SubjectName
0,33,BIDMAS
1,1077,Simplifying Algebraic Fractions
2,339,Range and Interquartile Range from a List of Data
3,88,Properties of Quadrilaterals
4,67,Substitution into Formula
5,75,Area of Simple Shapes
6,238,Converting between Fractions and Percentages
7,224,Multiplying and Dividing with Decimals
8,230,Adding and Subtracting Fractions
9,164,Transformations of functions in the form f(x)
10,335,Expanding Triple Brackets and more
11,85,Nets
12,182,Angle Facts with Parallel Lines
13,209,Time
14,69,Trial and Improvement and Iterative Methods
16,241,Sharing in a Ratio
17,210,Ordering Negative Numbers
18,211,Adding and Subtracting Negative Numbers
19,1078,Adding and Subtracting Algebraic Fractions
20,189,Volume of Prisms
21,53,Factorising into a Double Bracket
22,203,Mental Addition and Subtraction
23,58,Real Life Graphs
24,204,Mental Multiplication and Division
26,159,Equation of a Circle
28,200,Counting
29,166,Solving Linear Inequalities
30,649,Function Machines
31,195,Length Units
32,64,Linear Equations
34,202,Place Value
35,239,Converting between Decimals and Percentages
36,251,Simplifying Expressions by Collecting Like Terms
37,227,Simplifying Fractions
41,171,Linear Sequences (nth term)
42,262,Parallel Lines
43,232,Dividing Fractions
44,175,Properties of Triangles
46,70,Writing Expressions
47,225,Fractions of an Amount
56,334,Writing Ratios
57,279,Right-angled Triangles (SOHCAHTOA)
58,165,Inequalities on Number Lines
59,233,Percentages of an Amount
60,229,Converting Mixed Number and Improper Fractions
61,228,Ordering Fractions
62,340,Averages and Range from Frequency Table
63,206,Written Subtraction
65,65,Quadratic Equations
66,223,Adding and Subtracting with Decimals
67,246,"Square Roots, Cube Roots, etc"
69,110,Experimental Probability and Relative Frequency
71,117,Time Series and Line Graphs
72,258,Horizontal and Vertical Lines
73,213,"Rounding to the Nearest Whole (10, 100, etc)"
77,263,Perpendicular Lines
79,168,Solving Quadratic Inequalities
80,344,Venn Diagrams
83,215,Rounding to Significant Figures
90,183,Angles in Polygons
93,266,Sketching from Factorised Form
94,172,Quadratic Sequences
97,181,"Basic Angle Facts (straight line, opposite, around a point, etc)"
98,264,Graphical Solution of Simultaneous Equations
99,197,Volume and Capacity Units
100,109,Pie Chart
102,655,Missing Lengths
108,51,Expanding Double Brackets
110,243,Direct Proportion
113,50,Expanding Single Brackets
115,95,Translation and Vectors
116,231,Multiplying Fractions
119,212,Multiplying and Dividing Negative Numbers
120,196,Area Units
121,260,Finding the Gradient and Intercept of a Line from the Equation
122,102,"Averages (mean, median, mode) from a List of Data"
125,1081,Algebraic Proof
126,179,Compound Area
135,237,Converting between Fractions and Decimals
137,1212,Other Graphs-Others
140,52,Factorising into a Single Bracket
141,265,Plotting Quadratics from Tables of Values
142,180,Measuring Angles
143,256,Completing the Square
144,173,Other Sequences
147,222,Ordering Decimals
152,208,Written Division
166,1079,Multiplying and Dividing Algebraic Fractions
169,157,Writing Formula
170,1173,Sequences-Others
171,207,Written Multiplication
180,275,Line Symmetry
182,254,Difference of Two Squares
185,103,Averages and Range from Grouped Data
188,92,Reflection
192,214,Rounding to Decimal Places
193,247,Laws of Indices
196,60,Rearranging Formula and Equations
199,1082,Recurring Decimals to Fractions
203,410,Distance Between Two Co-ordinates
206,219,Factors and Highest Common Factor
218,244,Indirect (Inverse) Proportion
220,94,Enlargement
222,167,Graphing Linear Inequalities (Shading Regions)
228,408,Midpoint Between Two Co-ordinates
231,259,Finding the Equation of a Line
235,111,Probability of Single Events
239,1171,Quadratic Graphs-Others
242,41,Basic Money
245,234,Percentage Increase and Decrease
249,63,Simultaneous Equations
265,1649,Volume of Non-Prisms
283,261,Gradient as change in y over change in x
294,84,Properties of Polygons
303,188,Surface Area of Prisms
310,73,"Types, Naming and Estimating"
312,252,Multiplying Terms
331,160,Graphs of Exponentials and Other Powers of x
336,108,Pictogram
338,226,Equivalent Fractions
343,406,Naming Co-ordinates in 2D
351,245,"Squares, Cubes, etc"
355,276,Rotational Symmetry
365,1213,2D Names and Properties of Shapes-Others
370,257,Plotting Lines from Tables of Values
371,93,Rotation
375,656,Co-ordinate Geometry with Straight Lines
393,90,Length Scale Factors in Similar Shapes
407,269,"Speed, Distance, Time"
433,337,Types of Data and Questionnaires
440,199,Temperature units
448,57,Cubics and Reciprocals
461,112,Tree Diagrams with Dependent Events
471,1975,Combining Operations
484,177,Names and Properties of 3D Shapes
492,191,Construct Triangle
531,220,Multiples and Lowest Common Multiple
537,216,Estimation
538,86,Perimeter
557,106,Block Graphs and Bar Charts
586,248,Simplifying Surds
590,190,Construct Angle
594,205,Written Addition
601,184,Parts of a Circle
614,1984,Quadratic inequalities on Number Lines
635,76,Bearings
640,439,Angles in Triangles
647,249,Operations with Surds
665,274,Congruency in Other Shapes
698,349,Combined Events
754,267,Sketching from Completing the Square Form
766,1976,Frequency tables
769,198,Weight Units
886,34,Upper and Lower Bounds
1024,1636,Systematic Listing Strategies
1095,47,Standard Form
1114,409,Gradient Between Two Co-ordinates
1147,282,Exact Values of Trigonometric Ratios
1170,89,2D Pythagoras
1182,217,Basic Calculator Use
1363,273,"Length, Area and Volume Scale Factors"
1370,1170,Straight Line Graphs-Others
1835,332,Currency Conversions
